CARTON 1;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CARTON 2;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10
0109;10;15;20;21;26;28;40;47;56;60;8;12;15;17;32;37;42;49;55;58;3;8;13;17;23;25;26;33;50;58;0709;6;8;9;15;20;22;30;41;44;50;5;8;11;18;25;30;36;45;46;48;1;2;6;10;14;20;24;25;38;42
0110;11;12;13;14;16;22;30;44;50;60;2;4;6;12;19;20;25;31;38;56;5;6;7;20;26;35;36;45;51;53;0710;12;15;25;28;29;30;40;44;45;58;2;9;13;16;21;26;28;44;47;55;1;2;3;4;5;20;21;26;28;41
0111;4;9;10;11;15;22;45;54;55;59;2;9;16;21;25;41;42;44;45;60;8;9;10;17;18;21;22;28;41;52;0711;2;11;17;21;35;40;45;52;53;56;6;26;33;39;41;48;52;53;54;57;1;6;7;11;16;29;31;40;56;60
0112;1;3;9;13;14;18;40;48;51;52;7;9;11;19;24;28;29;32;45;58;4;7;9;12;23;27;30;31;41;51;0712;3;12;14;16;30;36;40;47;50;54;1;3;4;18;21;23;24;47;53;58;9;11;15;39;40;47;52;55;57;60
0113;20;33;35;37;40;42;43;48;55;56;1;12;15;16;18;23;35;40;51;60;10;22;28;32;35;39;45;49;58;59;0713;7;14;16;26;37;38;48;53;57;58;7;9;11;16;29;43;49;51;52;53;2;3;19;27;36;37;43;48;49;57
0114;7;8;18;23;26;29;34;55;56;60;6;15;17;30;32;47;48;55;58;60;2;20;31;38;49;50;51;54;55;57;0714;2;9;13;21;36;41;42;44;46;54;5;15;20;25;27;29;33;35;49;50;1;4;5;10;12;17;32;35;40;56
0115;4;11;14;18;24;30;35;39;41;56;4;8;16;18;21;26;38;42;50;53;2;7;10;23;26;46;51;53;57;58;0715;5;10;16;20;22;24;27;37;39;49;15;16;18;20;28;36;46;49;51;56;2;11;14;17;19;31;33;50;56;57
0116;7;9;13;15;16;30;49;51;56;57;5;16;17;18;19;24;29;32;35;51;10;12;15;17;20;21;51;52;54;57;0716;3;7;24;28;35;39;40;45;52;57;6;10;12;26;30;39;41;49;50;56;3;5;6;20;21;22;32;36;54;55
0117;9;13;16;19;24;35;38;39;53;54;3;13;30;32;43;45;48;51;59;60;10;23;26;36;40;41;43;44;46;50;0717;13;16;18;27;34;41;42;43;54;56;6;9;16;26;35;36;37;49;56;60;5;6;7;12;26;27;29;30;31;54
0118;4;10;24;27;35;45;49;52;54;57;5;9;13;21;22;33;40;47;50;56;1;4;5;8;9;29;33;41;47;53;0718;1;9;17;21;27;30;37;47;53;58;6;7;17;24;26;27;31;47;49;56;1;5;6;13;31;38;41;52;57;58
0119;10;13;16;18;24;31;45;54;56;57;14;17;24;30;32;34;35;49;56;58;12;13;19;27;28;36;39;43;50;54;0719;1;2;6;22;26;28;56;58;59;60;3;5;12;23;24;33;36;42;50;58;4;11;16;26;31;37;42;44;53;54
0120;3;9;25;29;30;37;41;43;44;50;11;15;29;34;41;44;54;56;58;60;1;17;31;34;38;50;52;54;58;60;0720;1;8;11;16;22;33;40;56;57;59;2;5;15;16;17;21;26;32;38;60;4;5;8;15;19;25;30;34;41;60
0121;5;12;16;34;37;38;53;56;58;60;8;14;15;25;26;32;35;41;54;59;1;4;11;18;36;44;46;49;53;54;0721;8;9;11;12;15;26;27;41;53;56;2;20;23;24;31;33;38;40;54;60;9;10;34;43;44;46;49;50;51;53
0122;4;10;12;20;23;25;29;37;44;45;11;18;23;34;37;39;46;50;57;59;1;3;8;23;24;28;46;49;57;60;0722;7;8;39;41;44;45;53;56;57;58;3;5;13;15;33;38;43;45;49;59;10;12;26;27;28;34;41;42;54;55
0123;7;16;27;34;42;43;46;51;57;60;8;13;28;33;35;37;47;49;51;60;4;16;29;30;37;39;40;44;46;57;0723;13;19;20;21;22;23;25;38;40;51;9;15;16;22;23;24;38;43;48;57;12;17;19;24;25;28;46;52;56;58
0124;5;25;31;33;34;42;43;47;50;55;13;14;18;25;41;42;43;44;56;60;1;12;13;27;39;44;46;54;55;56;0724;13;17;18;21;22;24;28;48;53;56;1;3;4;21;25;26;30;46;49;53;5;8;11;19;21;31;36;37;41;46
0125;3;14;16;21;24;25;30;35;39;40;1;6;17;24;32;42;44;49;50;60;6;16;19;26;29;31;43;44;49;55;0725;3;11;19;26;32;34;35;40;59;60;1;12;15;17;20;21;34;39;43;59;9;12;16;25;30;34;40;46;54;59
0126;5;6;8;21;23;41;42;47;58;59;2;10;22;23;32;41;42;46;47;52;5;13;25;28;29;33;37;42;48;52;0726;2;7;11;31;38;40;45;53;55;56;1;13;17;22;27;29;32;39;41;49;4;12;19;21;22;27;31;40;51;59
0127;2;8;10;15;16;24;41;47;53;59;1;4;9;19;31;41;43;58;59;60;1;5;9;12;14;30;39;42;46;59;0727;8;22;28;29;37;38;39;42;51;57;1;3;10;12;14;15;17;20;29;43;5;17;18;22;24;28;40;42;44;53
0128;31;32;33;40;41;44;47;52;53;57;9;16;19;21;28;36;41;54;56;59;6;8;11;14;15;33;36;40;47;58;0728;4;9;17;21;29;34;35;40;48;54;1;3;13;24;26;27;37;45;46;53;9;10;12;17;24;36;42;45;48;50
0129;17;18;21;25;28;46;47;52;58;59;1;6;11;21;23;25;35;43;44;47;7;9;16;24;25;28;32;34;47;55;0729;1;7;21;23;26;27;34;40;41;49;10;13;18;25;33;38;39;43;52;55;1;6;14;20;38;43;44;47;52;56
0130;5;8;12;19;23;29;44;46;51;58;21;23;24;25;28;29;35;44;45;53;3;6;8;15;19;24;25;34;50;54;0730;16;21;27;28;29;32;38;43;44;56;7;10;14;15;36;48;52;54;56;58;1;6;10;26;29;30;44;54;55;59
0131;3;7;9;24;29;30;33;36;41;42;1;5;10;16;17;22;30;35;42;53;7;8;12;27;34;42;52;53;57;59;0731;17;20;21;26;27;38;41;43;52;57;4;7;9;11;16;22;27;48;50;60;1;14;17;20;27;29;36;47;49;57
0132;1;10;32;35;36;42;44;46;53;56;5;10;17;21;22;24;25;29;31;57;14;16;20;21;32;39;46;55;57;58;0732;8;16;23;27;28;31;33;57;58;60;1;9;13;16;19;22;25;39;44;46;5;27;28;33;35;37;38;53;56;57
0133;6;11;14;19;30;31;37;43;50;60;2;17;19;22;24;30;33;35;40;49;5;10;13;25;30;38;48;53;55;57;0733;4;5;20;25;27;32;38;41;46;56;3;10;14;20;21;24;25;32;53;57;5;11;14;15;19;22;27;40;41;43
0134;2;3;8;12;16;27;28;42;50;58;7;12;15;18;27;35;36;38;51;59;2;3;4;11;32;35;37;44;46;57;0734;5;12;15;17;21;43;44;45;57;59;1;3;8;9;15;18;26;37;39;50;9;15;17;21;22;33;35;42;55;57
0135;2;3;11;16;18;28;40;47;48;55;3;8;13;14;26;29;30;34;48;52;15;18;26;27;31;34;37;47;54;57;0735;4;5;6;11;29;31;33;43;46;51;8;15;19;31;43;44;45;54;56;57;3;4;10;11;13;15;16;44;47;53
0136;2;3;5;32;42;47;49;51;53;58;5;14;22;24;27;30;32;33;36;47;5;7;15;28;32;33;37;42;43;51;0736;7;14;22;30;31;34;36;38;50;53;13;22;28;32;36;40;51;52;56;60;8;16;18;24;32;35;41;46;49;50
0137;6;7;12;14;23;25;30;40;44;60;4;6;20;25;30;39;41;42;46;47;3;6;23;32;33;47;52;54;58;60;0737;2;3;8;20;23;30;36;39;52;56;2;6;16;24;32;38;49;54;57;58;4;11;23;27;30;38;40;44;50;60
0138;10;34;36;37;42;45;51;53;57;60;4;6;10;15;19;23;48;49;52;56;1;11;16;20;24;26;35;44;52;55;0738;8;13;24;26;28;29;36;37;49;55;11;12;19;20;23;35;37;47;50;51;3;14;20;37;40;43;44;47;51;58
0139;3;9;24;31;39;43;46;57;58;60;5;7;8;23;24;41;49;52;53;54;10;15;22;24;28;29;33;47;53;60;0739;5;16;21;23;32;38;43;49;51;56;8;14;22;32;34;37;45;48;51;55;5;11;16;18;20;23;28;48;54;55
0140;1;2;13;23;26;31;34;51;53;57;13;16;18;19;24;27;34;41;47;54;4;5;12;14;18;20;21;27;34;48;0740;2;17;22;28;33;45;46;48;50;54;2;21;32;33;34;38;43;48;57;60;2;4;7;8;9;19;41;48;55;58
0141;16;23;24;25;26;31;33;40;48;49;2;4;8;9;14;16;18;25;55;56;10;15;21;27;30;36;37;42;45;47;0741;12;15;25;41;43;48;53;55;56;60;3;8;10;17;26;40;42;43;44;58;5;14;17;18;28;30;34;41;51;54
0142;3;6;7;12;16;17;22;32;35;48;3;12;22;25;31;34;42;56;57;59;1;5;9;15;32;47;52;54;56;57;0742;5;8;11;14;16;20;23;32;33;38;12;14;22;26;34;40;41;50;54;59;1;6;10;32;43;46;50;51;52;55
0143;7;12;14;32;33;45;46;48;54;55;12;14;15;19;27;31;37;39;44;56;1;4;15;31;40;41;43;45;56;58;0743;5;7;9;38;44;45;46;53;57;60;1;2;7;10;13;27;32;37;50;54;1;8;21;26;39;40;47;51;52;56
0144;1;2;4;11;19;21;31;39;40;46;2;10;11;13;20;22;28;54;55;60;4;11;18;19;22;30;38;42;49;58;0744;3;7;9;23;35;42;44;50;53;59;1;8;17;23;28;32;40;41;55;60;1;6;10;14;23;28;45;57;58;60
0145;4;6;11;12;22;25;31;50;52;60;11;13;19;20;25;26;31;38;42;47;5;10;32;38;39;42;45;49;50;51;0745;5;7;8;12;35;44;46;47;53;56;7;16;29;30;34;42;51;55;58;60;1;9;18;22;23;25;27;30;52;55
0146;1;8;15;31;35;37;46;48;55;60;5;14;15;25;33;39;40;42;58;60;9;22;25;33;34;35;47;50;58;59;0746;7;10;11;13;20;24;27;35;48;60;1;3;6;7;9;28;30;36;43;60;4;8;20;32;36;40;44;49;53;54
0147;1;8;20;33;35;38;45;49;53;54;5;7;11;14;20;38;44;51;55;60;5;7;10;14;27;36;38;41;43;51;0747;6;7;20;23;31;39;44;49;57;59;1;4;6;12;17;36;39;49;52;55;4;12;25;29;35;36;40;44;46;59
0148;3;7;10;27;35;39;40;45;46;52;1;7;9;12;13;36;37;43;45;46;1;2;5;15;21;32;33;49;50;55;0748;2;6;10;15;16;31;38;50;54;55;4;5;6;7;16;17;18;33;35;45;1;11;22;26;28;31;38;40;48;60
0149;2;7;9;12;16;25;33;37;46;59;10;13;21;29;30;33;35;42;47;48;7;16;30;32;33;34;37;42;44;52;0749;1;3;16;24;27;31;33;39;42;56;2;5;14;24;26;33;35;52;58;60;10;13;17;27;32;44;47;49;54;55
0150;5;10;12;26;34;39;46;50;57;60;7;13;26;29;34;41;42;47;50;57;2;19;21;24;29;38;39;41;50;52;0750;8;12;13;14;19;29;30;40;55;59;1;4;7;10;18;20;23;30;33;40;1;6;11;16;25;36;38;52;53;57
0151;3;11;23;27;34;42;45;49;51;60;4;6;7;8;20;30;32;34;39;56;8;15;18;29;36;37;38;39;47;59;0751;1;2;8;17;23;29;50;57;58;59;10;15;22;25;27;36;45;49;50;58;17;30;38;41;43;45;49;56;58;59
0152;8;12;18;22;45;49;51;52;56;60;2;10;22;27;35;36;42;43;53;56;2;7;11;13;23;24;37;40;46;60;0752;1;7;12;32;35;39;50;54;55;58;2;6;7;11;13;37;45;50;52;53;3;22;28;30;34;36;39;44;49;55
0153;5;7;25;28;30;31;36;37;46;47;3;13;15;16;32;36;38;52;53;55;5;8;19;22;30;33;50;53;54;56;0753;2;7;19;26;30;37;41;43;54;55;2;10;15;23;26;38;51;53;56;57;9;18;25;26;36;37;46;51;56;59
0154;2;10;27;28;30;35;48;52;54;58;1;10;13;25;38;43;51;52;53;57;3;17;20;22;43;45;48;49;51;52;0754;4;5;6;24;29;31;40;44;51;52;2;7;8;29;32;34;36;48;50;55;1;5;10;15;20;21;36;49;52;58
0155;1;9;14;21;24;32;33;35;37;47;2;3;9;24;29;36;40;46;54;55;2;10;26;27;29;39;49;52;59;60;0755;9;10;11;23;24;29;39;45;51;57;4;8;9;16;19;32;38;49;51;54;20;21;22;24;33;40;49;51;56;58
0156;4;18;23;28;32;40;49;52;55;58;6;15;16;20;21;25;31;33;45;56;9;16;17;21;24;30;34;47;51;58;0756;1;2;10;12;13;16;27;43;50;54;5;9;21;22;24;31;36;38;41;53;4;12;15;23;28;31;35;47;51;59
0157;3;16;18;19;24;28;30;37;45;54;2;3;4;9;13;20;26;32;33;52;5;18;26;33;36;37;38;43;57;60;0757;8;15;16;18;19;29;30;38;43;52;1;3;8;12;15;18;28;30;34;50;10;12;18;21;22;23;34;45;50;59
0158;16;18;31;37;42;47;48;52;56;57;3;5;8;11;13;15;16;38;43;44;5;7;11;15;31;36;37;46;48;55;0758;5;20;22;23;39;48;49;51;53;60;1;3;21;30;39;40;44;48;55;57;3;4;10;25;30;32;39;50;54;59
0159;7;15;17;23;25;36;39;57;59;60;3;17;20;21;24;31;33;51;58;60;13;17;19;27;32;34;36;39;42;57;0759;1;3;9;10;30;33;36;51;52;57;5;8;25;36;37;43;47;48;49;58;7;10;15;16;24;25;35;39;42;48
0160;9;11;17;18;23;25;31;37;55;56;2;5;6;7;16;26;27;38;47;57;1;2;11;13;30;31;36;40;47;58;0760;1;2;7;15;18;21;26;35;42;58;5;8;9;10;20;32;37;46;49;53;4;6;11;15;24;37;43;44;49;56
0161;7;12;14;26;32;35;39;41;48;58;6;20;22;24;25;32;35;40;43;45;1;5;7;11;21;23;27;33;46;48;0761;6;11;18;19;28;30;31;37;38;51;4;22;31;33;43;45;53;54;55;56;3;7;14;25;34;35;37;42;45;60
0162;9;10;12;14;17;37;38;55;59;60;11;18;24;27;31;36;40;44;47;48;3;5;10;15;17;27;35;38;50;55;0762;5;9;20;25;28;34;48;50;53;57;2;13;15;26;27;30;38;39;53;60;7;11;13;18;36;38;41;46;47;57
0163;7;11;12;20;22;33;36;43;44;46;4;22;29;34;35;44;49;54;59;60;13;22;23;29;30;34;44;52;53;54;0763;8;11;19;26;28;29;33;35;49;59;8;12;15;24;25;30;41;43;44;55;4;13;17;23;30;36;39;40;42;60
0164;4;5;10;13;18;31;32;35;40;59;3;17;22;26;27;35;38;39;49;53;1;12;14;23;30;31;37;42;51;57;0764;2;6;8;11;17;18;30;42;53;59;9;12;16;22;33;34;37;41;48;56;4;6;17;20;23;29;46;49;52;59
0165;4;21;24;25;26;33;38;43;45;53;5;14;15;29;30;33;34;39;46;52;1;3;5;6;10;14;31;36;52;58;0765;12;13;24;32;34;40;51;52;54;57;1;6;10;11;16;23;24;28;45;48;14;18;19;22;25;28;29;42;48;59
0166;4;5;6;11;29;31;41;43;50;52;8;17;19;22;26;28;41;42;50;53;12;25;28;32;35;36;38;42;53;54;0766;2;12;17;22;24;31;35;57;58;60;16;18;28;36;38;39;41;51;52;56;6;17;25;27;36;43;44;48;49;52
0167;2;16;19;21;25;30;31;47;51;59;4;5;15;19;21;23;34;39;42;58;9;12;15;23;24;29;46;48;56;57;0767;2;12;22;23;28;35;40;43;51;52;9;12;13;18;25;27;37;38;44;60;1;12;16;18;33;34;35;38;41;55
0168;2;4;6;12;41;43;49;53;58;60;1;23;24;27;38;42;44;50;51;57;1;2;10;30;34;39;40;48;56;60;0768;4;5;9;20;22;27;38;40;44;51;2;7;9;13;20;27;46;54;55;58;4;5;7;9;14;30;34;45;47;53
0169;5;10;24;31;39;40;45;47;55;58;4;9;13;16;21;22;24;35;58;60;4;19;20;34;38;39;40;44;52;59;0769;7;23;30;42;43;44;49;50;52;60;10;11;23;31;34;36;39;46;56;57;1;13;14;17;24;38;49;56;57;59
0170;2;3;6;7;10;17;29;44;46;55;1;6;12;13;14;33;36;39;54;57;7;11;14;25;28;30;37;40;42;44;0770;3;15;22;30;31;36;38;42;44;55;3;6;12;14;15;17;24;42;55;60;3;4;6;17;19;27;31;39;40;42
0171;1;21;29;33;36;37;51;53;54;58;1;8;26;28;36;41;42;50;52;53;1;8;16;17;22;24;33;38;41;50;0771;16;23;26;37;38;40;43;44;59;60;3;5;11;13;20;27;38;40;50;54;3;7;10;12;23;33;34;35;42;59
0172;1;7;11;20;26;34;40;41;44;55;8;10;14;20;24;29;35;48;53;56;2;6;8;26;31;41;47;48;51;55;0772;2;3;18;20;23;29;34;40;52;56;6;11;16;22;24;25;28;42;45;51;2;4;7;10;14;24;32;35;44;53
0173;1;2;6;7;12;42;46;50;55;58;3;4;18;21;35;43;46;48;51;52;9;10;15;18;24;34;35;47;48;59;0773;5;15;25;28;33;36;38;42;43;49;11;13;29;38;39;49;51;55;57;60;4;12;16;17;25;28;29;46;50;54
0174;4;11;15;26;31;39;40;44;50;59;3;7;13;20;28;31;45;46;57;59;3;8;14;15;18;29;31;43;47;59;0774;6;7;28;33;36;39;43;52;57;59;7;9;10;19;21;22;28;41;44;59;5;9;14;25;36;37;46;50;58;59
0175;1;9;16;25;28;33;36;52;55;59;6;13;14;17;20;29;30;38;45;53;6;8;11;17;18;23;25;32;52;53;0775;11;17;26;31;32;35;37;45;51;55;2;10;17;26;28;38;42;52;53;59;1;2;7;10;11;12;15;20;23;56
0176;3;13;17;19;21;22;24;35;41;50;7;19;25;34;44;46;49;50;52;57;7;9;10;13;17;33;52;58;59;60;0776;7;11;15;25;28;29;42;44;49;55;3;9;11;16;20;21;35;48;54;55;2;4;6;17;21;28;46;52;59;60
0177;1;6;21;24;25;33;35;43;49;57;10;13;14;20;32;35;40;46;47;49;2;6;7;13;34;35;42;52;54;58;0777;22;23;26;29;32;46;49;50;54;60;6;7;9;14;21;25;29;30;33;56;2;5;17;21;24;26;30;40;43;44
0178;5;8;12;19;20;24;26;35;43;52;4;13;16;20;28;37;38;46;47;57;1;6;9;15;18;34;43;53;54;58;0778;14;15;16;18;26;35;36;37;44;56;5;6;9;14;24;47;48;49;50;57;7;17;27;38;39;41;43;46;48;58
0179;8;15;18;21;22;24;25;37;50;57;2;8;14;19;26;33;45;52;59;60;8;16;20;21;24;25;26;38;41;46;0779;1;8;11;21;35;36;39;45;47;59;2;8;13;29;37;39;46;48;49;58;2;7;13;19;23;27;41;45;46;50
0180;1;2;14;15;33;36;40;41;52;59;11;16;23;33;50;51;52;53;54;56;6;8;19;20;36;38;43;46;48;50;0780;2;9;14;18;19;22;23;49;50;51;3;4;7;8;14;20;24;29;42;51;9;13;17;21;30;35;39;40;57;60
0181;18;22;25;26;30;33;36;37;44;49;4;17;23;28;40;49;51;53;56;59;19;20;23;28;29;31;34;45;47;51;0781;2;4;5;17;25;27;32;47;48;58;10;14;21;27;29;41;42;44;45;52;1;3;4;7;16;32;41;43;46;60
0182;4;6;14;16;18;28;42;46;48;50;6;11;14;16;18;20;21;54;56;60;5;14;18;22;31;34;42;48;55;56;0782;17;21;26;27;32;40;44;45;48;60;1;2;3;6;11;13;27;46;47;60;3;4;6;10;15;26;27;30;36;58
0183;5;8;15;27;42;46;47;48;54;58;5;16;20;25;35;39;40;41;45;52;14;15;23;30;31;33;46;49;57;60;0783;3;4;16;24;28;36;38;39;45;59;5;11;17;21;30;42;44;48;52;54;6;7;8;15;32;37;42;46;52;59
0184;9;17;22;23;28;34;39;43;44;49;9;11;13;20;23;25;35;40;41;49;6;10;18;20;27;31;32;33;38;57;0784;11;12;13;20;32;42;44;45;50;60;5;15;21;28;29;33;46;51;57;58;1;10;11;25;32;35;37;45;51;52
0185;4;15;17;22;27;28;30;37;42;59;6;7;9;20;24;31;32;48;54;59;1;2;6;10;19;24;28;44;46;53;0785;6;14;21;36;39;42;48;52;54;56;1;9;13;19;28;29;36;37;41;45;7;11;14;18;28;33;38;54;57;58
0186;13;18;19;26;29;33;39;55;56;58;3;10;11;12;23;24;37;38;39;46;8;27;29;37;38;42;49;50;56;59;0786;1;4;23;31;39;42;46;47;56;59;3;12;14;20;35;36;41;45;47;58;3;14;18;20;37;39;40;41;49;53
0187;3;11;14;17;38;39;42;45;46;52;1;14;20;24;28;29;31;37;56;59;4;6;7;18;19;33;45;55;56;57;0787;5;16;17;19;25;32;33;36;53;60;1;2;19;26;29;36;40;51;53;56;3;5;6;9;28;35;36;37;40;41
0188;17;19;22;25;30;36;38;44;57;59;3;6;10;11;22;26;27;41;48;58;3;43;44;47;50;51;52;54;56;58;0788;2;3;9;12;25;27;34;35;43;47;5;7;9;16;33;35;39;54;58;60;1;8;23;34;36;38;41;47;50;60
0189;4;16;23;30;33;44;49;56;57;60;8;17;18;21;23;28;34;45;55;57;2;7;9;15;24;26;37;39;40;55;0789;15;19;21;26;42;43;45;54;55;59;6;15;17;26;42;44;47;48;52;60;6;8;9;16;20;29;40;41;42;48
0190;3;9;11;12;18;32;35;49;54;57;5;10;14;15;16;19;27;31;35;49;13;22;24;28;35;43;48;50;53;54;0790;5;17;21;23;25;30;33;35;40;55;2;12;14;16;18;20;29;30;54;58;4;9;12;19;27;34;41;50;58;60
0191;1;2;3;9;12;13;14;18;46;56;4;14;20;29;37;48;49;56;58;60;15;20;22;27;29;37;38;39;51;55;0791;13;16;20;30;33;36;37;41;46;50;1;7;14;15;17;20;35;49;54;58;2;13;14;24;28;38;45;50;56;60
0192;1;7;9;10;11;16;19;27;29;41;4;17;31;33;34;35;52;54;55;58;2;4;12;13;19;29;37;43;49;57;0792;3;7;8;13;29;34;49;53;54;59;2;4;7;15;26;31;44;56;57;60;4;6;16;18;23;29;34;36;45;51
0193;9;13;17;19;20;33;43;46;56;59;7;11;14;18;26;29;30;46;51;53;1;2;5;8;26;33;38;42;44;60;0793;9;12;18;20;21;29;34;37;38;56;2;9;13;14;24;25;26;33;45;55;7;8;17;26;27;34;45;48;49;57
0194;6;21;28;34;39;46;50;51;57;60;3;17;19;20;23;29;42;45;47;50;5;7;9;16;23;24;28;38;39;58;0794;5;6;9;18;32;33;35;44;48;55;1;8;10;29;30;32;47;50;52;56;4;17;18;27;34;36;44;46;52;59
0195;1;4;11;16;23;34;45;54;57;58;6;12;18;38;39;51;52;53;59;60;6;7;10;12;20;30;36;39;41;56;0795;4;8;14;15;23;36;37;45;57;59;2;4;12;16;21;31;32;38;47;58;7;29;33;34;37;41;42;47;50;53
0196;1;10;19;24;27;34;38;39;44;52;12;13;25;27;28;35;37;49;52;59;4;6;9;22;23;27;29;34;50;57;0796;5;10;18;24;34;39;40;41;45;49;3;16;18;31;36;43;45;49;59;60;2;12;23;25;26;27;34;37;52;60
0197;9;17;20;25;28;29;48;51;59;60;1;22;33;40;45;46;47;50;52;57;3;12;17;23;26;28;35;39;49;55;0797;1;8;14;25;32;37;40;51;59;60;6;9;24;26;31;35;48;53;58;59;2;4;15;19;22;29;36;40;45;57
0198;4;9;17;22;30;38;42;48;50;51;5;15;16;18;23;24;27;46;57;58;24;32;33;38;42;43;46;51;55;59;0798;4;7;12;27;33;36;48;51;52;59;4;18;25;34;37;38;41;52;54;55;3;7;15;36;42;43;45;46;55;58
0199;5;12;15;21;24;26;45;49;52;55;5;6;19;21;34;40;44;51;52;53;3;6;22;31;33;34;36;42;45;50;0799;4;5;13;17;27;29;33;36;48;59;3;8;15;27;28;32;46;48;51;58;1;9;14;15;31;41;48;53;56;57
0200;4;7;10;19;22;27;35;41;47;50;6;11;20;22;27;35;42;45;49;60;14;15;20;23;24;25;33;49;58;60;0800;2;4;10;23;24;31;32;34;37;39;4;7;20;29;31;36;45;49;55;60;1;2;7;14;16;35;41;45;51;55
0201;1;4;6;9;19;23;31;38;53;60;3;8;11;21;25;36;47;51;55;57;3;15;29;31;32;38;44;48;52;57;0801;9;15;20;27;29;32;35;51;55;60;3;11;18;23;36;44;49;51;52;60;4;6;31;35;38;45;47;48;54;60
0202;7;10;16;29;36;40;43;52;53;57;8;16;17;25;27;28;29;42;51;53;9;19;26;30;31;38;43;50;52;53;0802;2;9;21;22;23;24;35;46;49;60;12;14;16;25;29;33;44;47;56;57;3;4;25;32;38;46;47;52;58;60
0203;5;14;20;26;48;49;51;56;58;60;6;17;19;23;29;32;39;40;54;55;5;6;7;22;23;32;43;45;58;59;0803;1;11;12;13;20;21;23;25;36;44;2;5;8;10;19;22;23;29;30;37;1;7;13;22;26;34;36;41;45;56
0204;5;15;22;35;39;45;46;49;50;51;7;15;19;25;35;43;45;57;58;59;2;12;30;35;36;38;41;43;53;56;0804;1;8;12;16;24;35;47;51;57;58;1;7;11;14;18;20;27;38;57;58;1;3;6;7;8;13;32;40;47;51
0205;6;15;24;30;32;41;52;57;58;59;22;24;25;31;34;36;45;47;50;57;3;4;9;18;22;26;32;43;46;56;0805;12;14;16;23;32;43;44;55;57;58;12;13;14;20;25;32;38;42;46;57;2;11;17;27;34;35;36;47;49;53
0206;8;9;15;23;28;38;46;49;50;55;1;2;7;20;23;26;31;51;54;58;4;10;20;23;25;36;46;49;53;55;0806;2;9;20;26;33;38;52;55;56;60;1;2;17;19;38;39;41;50;56;58;5;11;16;28;37;43;44;54;58;60
0207;7;9;11;12;27;30;42;44;45;53;2;5;9;23;29;37;38;47;52;60;6;11;19;25;26;30;33;46;54;58;0807;1;5;7;14;32;36;40;57;58;59;7;15;22;23;25;29;31;33;35;44;12;18;21;26;28;30;46;50;55;56
0208;6;14;19;20;23;27;28;50;56;57;1;14;40;43;45;46;49;54;55;56;6;13;36;37;38;47;52;53;54;55;0808;8;9;15;16;22;23;26;45;47;57;11;14;15;28;30;33;35;46;48;60;6;10;11;15;22;24;33;44;53;58
0209;2;8;9;15;21;38;40;43;48;60;1;6;9;13;14;33;47;48;50;60;2;3;12;14;18;22;31;33;51;58;0809;2;4;20;21;23;31;33;39;43;50;3;13;25;26;30;34;44;54;56;59;7;11;15;27;29;32;38;42;49;57
0210;10;12;13;21;28;29;35;42;45;58;2;9;26;30;31;33;37;38;42;54;1;2;7;10;31;37;39;41;47;51;0810;19;20;21;29;30;40;46;52;54;56;3;5;10;15;19;24;29;35;42;55;2;14;19;20;27;37;38;41;43;48
0211;5;10;22;23;25;26;27;34;42;51;8;18;24;30;31;34;37;38;54;58;1;14;17;22;24;36;41;49;56;57;0811;1;3;22;23;25;27;35;39;49;50;6;7;9;21;23;27;30;32;35;57;4;5;6;8;11;24;37;41;42;46
0212;3;8;11;20;25;26;30;36;45;57;10;12;18;20;24;30;31;43;51;60;6;8;15;17;22;37;46;52;55;56;0812;3;7;10;14;17;19;25;41;52;55;2;13;19;24;29;32;40;44;52;55;1;11;12;13;19;23;28;38;39;41
0213;6;7;12;24;26;39;40;51;57;58;6;11;17;18;25;26;37;44;46;55;3;10;12;15;16;28;34;44;49;58;0813;4;9;13;17;23;24;42;47;55;58;3;7;14;19;24;37;40;47;55;57;1;4;5;6;14;15;22;24;27;57
0214;19;24;26;42;43;46;48;50;54;57;6;11;12;15;19;21;25;34;41;56;15;18;23;24;38;39;48;55;56;60;0814;3;8;20;34;35;36;45;51;54;56;12;18;22;26;37;38;39;42;51;55;5;6;9;11;25;26;31;36;44;47
0215;5;11;14;20;38;40;41;42;47;49;1;9;11;13;23;25;39;46;47;50;7;10;16;21;31;35;42;55;56;60;0815;4;8;17;18;22;29;32;34;37;45;6;7;11;17;21;27;34;47;51;55;5;10;18;24;26;30;31;34;43;45
0216;2;9;10;11;12;34;45;47;53;54;2;21;31;34;41;44;45;52;54;57;1;2;21;25;30;36;40;41;42;53;0816;12;35;36;37;39;42;50;51;55;58;4;9;21;23;32;39;41;43;47;53;3;13;18;21;28;34;35;36;39;58
0217;9;11;18;19;25;27;40;48;51;59;3;7;11;12;25;31;35;53;58;59;14;22;26;30;35;40;48;49;56;58;0817;4;27;28;35;37;41;44;49;52;58;1;4;5;11;16;28;40;43;57;58;2;17;31;34;36;40;46;53;57;58
